gene	log2	pvalue	padj
ENSG00000000003	-2.31484813698834	0.462969627397669	0.213405062740669
ENSG00000000005	-0.414701806279818	0.0829403612559636	0.194215401774969
ENSG00000000419	-3.81653614635433	0.763307229270866	0.0774978311761001
ENSG00000000457	-3.74567259607901	0.749134519215801	0.671415314165413
ENSG00000000460	-2.9528386070742	0.590567721414841	0.590121435832186
ENSG00000000938	-0.649270062666196	0.129854012533239	0.311487450591511
ENSG00000000971	-3.79998947165445	0.759997894330891	0.507788992764358
ENSG00000001036	-2.7774929339841	0.555498586796819	0.971478219970481
ENSG00000001084	-0.569605158241657	0.113921031648331	0.774759719725598
ENSG00000001167	-4.87195267271295	0.97439053454259	0.506369942291434
ENSG00000001461	-4.4602817975473	0.892056359509461	0.696895304404584
ENSG00000001497	-3.44985484084384	0.689970968168767	0.828363105091917
ENSG00000001561	-4.07044399920026	0.814088799840052	0.33744870703527
ENSG00000001617	-3.13775005635143	0.627550011270286	0.294893277115424
ENSG00000001626	-1.42853261830138	0.285706523660276	0.217568189708868
ENSG00000001629	-3.981944090733	0.7963888181466	0.719273890431719
ENSG00000001630	-1.94051172104724	0.388102344209448	0.674136480034351
ENSG00000001631	-4.94778440882238	0.989556881764476	0.896685456916322
ENSG00000002330	-2.83215040429081	0.566430080858161	0.830173935713494
ENSG00000002549	-3.67785685017567	0.735571370035134	0.765832320898428
ENSG00000002586	-0.421753452327416	0.0843506904654831	0.825088853255087
ENSG00000002587	-4.77886944835502	0.955773889671004	0.268843301008258
ENSG00000002726	-3.17210417356562	0.634420834713123	0.964224743712743
ENSG00000002745	-0.809784260271474	0.161956852054295	0.108789839782097
ENSG00000002746	-0.526460833765641	0.105292166753128	0.562331289765117
ENSG00000002822	-2.667505033361	0.533501006672201	0.965917552225008
ENSG00000002834	-2.00531360757283	0.401062721514565	0.332840062719296
ENSG00000002919	-4.21935525340232	0.843871050680465	0.501643087895362
ENSG00000002933	-1.93007506002801	0.386015012005601	0.605562115732333
ENSG00000003056	-1.88510514018378	0.377021028036756	0.46835856588505
